stock,year,area,biomass,type
arrowtooth,2020,BSAI,934008,1
arrowtooth,2021,BSAI,923646,1
arrowtooth,2022,BSAI,921690,1
arrowtooth,2023,BSAI,914915,1
atka,2020,BSAI,515890,1
atka,2021,BSAI,560360,1
atka,2022,BSAI,554490,1
atka,2023,BSAI,570080,1
flathead,2020,BSAI,684768,3
flathead,2021,BSAI,602497,3
flathead,2022,BSAI,608631,3
flathead,2023,BSAI,612001,3
kamchatka,2020,BSAI,145368,2
kamchatka,2021,BSAI,144671,2
kamchatka,2022,BSAI,143983,2
kamchatka,2023,BSAI,142762,2
longnose,2020,BSAI,NA,
longnose,2021,BSAI,NA,
longnose,2022,BSAI,NA,
longnose,2023,BSAI,NA,
nork,2020,BSAI,256262,3
nork,2021,BSAI,244600,3
nork,2022,BSAI,279584,3
nork,2023,BSAI,275210,3
octopus,2020,BSAI,NA,
octopus,2021,BSAI,NA,
octopus,2022,BSAI,NA,
octopus,2023,BSAI,NA,
oflat,2020,BSAI,113450,
oflat,2021,BSAI,146679,
oflat,2022,BSAI,146679,
oflat,2023,BSAI,146679,
orox,2020,BSAI,53290,
orox,2021,BSAI,53248,
orox,2022,BSAI,53248,
orox,2023,BSAI,53248,
pcod,2020,AI,"80,700",0
pcod,2021,AI,"80,700",0
pcod,2022,AI,"80,700",0
pcod,2023,AI,"80,700",0
pcod,2020,EBS,756811,0
pcod,2021,EBS,754000,0
pcod,2022,EBS,879978,0
pcod,2023,EBS,848615,0
plaice,2020,BSAI,428800,3
plaice,2021,BSAI,427587,3
plaice,2022,BSAI,442946,3
plaice,2023,BSAI,454030,3
pollock,2020,AI,340680,3
pollock,2021,AI,292967,3
pollock,2022,AI,308525,3
pollock,2023,AI,330375,3
pollock,2020,Bogoslof,610267,3
pollock,2021,Bogoslof,378262,3
pollock,2022,Bogoslof,378262,3
pollock,2023,Bogoslof,378262,3
pollock,2020,EBS,9128000,3
pollock,2021,EBS,8145000,3
pollock,2022,EBS,6839000,3
pollock,2023,EBS,6969000,3
pop,2020,BSAI,908529,3
pop,2021,BSAI,756011,3
pop,2022,BSAI,738710,3
pop,2023,BSAI,724085,3
rebs,2020,BSAI,50376,3
rebs,2021,BSAI,19003,3
rebs,2022,BSAI,19145,3
rebs,2023,BSAI,19233,3
rock_sole,2020,BSAI,1068000,
rock_sole,2021,BSAI,923197,
rock_sole,2022,BSAI,1361360,
rock_sole,2023,BSAI,1784460,
sablefish,2020,AI,154000,6
sablefish,2021,AI,175000,6
sablefish,2022,AI,121200,6
sablefish,2023,AI,119100,6
sablefish,2020,BSAI/GOA,657000,4
sablefish,2021,BSAI/GOA,707000,4
sablefish,2022,BSAI/GOA,529800,4
sablefish,2023,BSAI/GOA,520800,4
sablefish,2020,EBS,116000,4
sablefish,2021,EBS,142000,4
sablefish,2022,EBS,168000,4
sablefish,2023,EBS,165200,4
sharks,2020,BSAI,NA,4
sharks,2021,BSAI,NA,4
sharks,2022,BSAI,NA,4
sharks,2023,BSAI,NA,4
shortraker,2020,BSAI,24055,
shortraker,2021,BSAI,24055,
shortraker,2022,BSAI,24055,
shortraker,2023,BSAI,24055,
skate,2020,BSAI,611761,
skate,2021,BSAI,611865,
skate,2022,BSAI,597042,
skate,2023,BSAI,583927,
turbot,2020,BSAI,106101,0
turbot,2021,BSAI,87849,0
turbot,2022,BSAI,84341,0
turbot,2023,BSAI,80404,0
yellowfin,2020,BSAI,2461850,1
yellowfin,2021,BSAI,2755870,1
yellowfin,2022,BSAI,2479370,1
yellowfin,2023,BSAI,2512201,1